// ************* TELAS *************

//FORM BASE
btnAlta												=插入
002_msg_sessao_finalizada                           = 会议结束

// TELA BILLETAJE SUCURSAL
003_titulo_pagina									= 报告 - 票务分公司
003_lbl_titulo_busqueda								= 搜索票务分公司
003_lbl_delegacion									= 代表团
003_lbl_cliente										= 顾客
003_lbl_sector										= 扇形
003_lbl_proceso										= 过程
003_lbl_fecha_transporte							= 数据传输
003_lbl_fecha										= 日
003_lbl_fecha_fin_conteo							= 结束日期计数
003_lbl_remesas_pendientes							= 待发运
003_lbl_formato_salida								= 输出格式
003_btn_cliente										= 搜索客户
003_btn_proceso										= 搜索过程

003_csv_lbl_recuento								= 过程
003_csv_lbl_fecha									= 日
003_csv_lbl_letra									= 信
003_csv_lbl_f22										= F22
003_csv_lbl_oidRemesaOri                            = OID Remesa大利
003_csv_lbl_codSubCliente                           = 鳕子客户端
003_csv_lbl_estacion								= 分公司
003_csv_lbl_descricion_estacion						= 说明科
003_csv_lbl_descricion_divisa						= 说明货币
003_csv_lbl_medio_pago								= 付款方法
003_csv_lbl_unidad									= 单元
003_csv_lbl_calidad									= 质量
003_csv_lbl_multiplicador							= 乘数
003_csv_lbl_cantidad								= 量
003_csv_lbl_valor									= 值
003_csv_lbl_deteriorado								= 坏
003_csv_lbl_codigo_calidad							= 坏

rpt_003_txt_lbl_titulo								= 票务分公司
rpt_003_txt_lbl_planta								= 植物..............：
rpt_003_txt_lbl_cliente								= 客户.............：
rpt_003_txt_lbl_transporte_del_dia					= D.反式脂肪。首页：
rpt_003_txt_lbl_transporte_ate						= D.反式脂肪。决赛.....：
rpt_003_txt_lbl_del_dia								= D.初始过程。
rpt_003_txt_lbl_ate									= D.决赛过程：
rpt_003_txt_lbl_conteo_del_dia						= D.结束连续。主页：
rpt_003_txt_lbl_conteo_ate							= D.结束连续。最终..：
rpt_003_txt_lbl_recuento							= 流程............：
rpt_003_txt_lbl_sucursal							= 分行............：
rpt_003_txt_lbl_divisa								= 区划..............：
rpt_003_txt_lbl_medio_pago							= 付款方法
rpt_003_txt_lbl_unidad								= 单元
rpt_003_txt_lbl_valor_recontado						= 新编值
rpt_003_txt_lbl_declarado							= 宣
rpt_003_txt_lbl_recontado							= 述说
rpt_003_txt_lbl_deferencia							= 差异
rpt_003_txt_lbl_total_sucursal						= 总分行
rpt_003_txt_lbl_cant_respaldos						= QUANT。靠背
rpt_003_txt_lbl_declarado_general					= 宣
rpt_003_txt_lbl_recontado_general					= 述说
rpt_003_txt_lbl_deferencia_general					= 差异
rpt_003_txt_lbl_total_general						= 总计
rpt_003_txt_lbl_cant_respaldos_general				= QUANT。靠背
rpt_003_txt_lbl_divisa_general						= 座右铭
rpt_003_txt_lbl_medio_pago_general					= 付款方法
rpt_003_txt_lbl_efectivo							= 有效
rpt_003_txt_lbl_deteriorado							= 坏
rpt_003_txt_lbl_codigo_transporte					= 收据..............：
rpt_003_txt_lbl_subcliente       					= SUB客户.........：
rpt_003_txt_lbl_oid_remesa_ori    					= OID Remesa的东方......：
rpt_003_txt_lbl_resumo			   					= 分析报告
rpt_003_txt_lbl_calidad			   					= 质量
rpt_003_txt_lbl_codido_calidad	   					= 坏

// TELA CORTE PARCIAL
004_titulo_pagina									= 报告 - 半切
004_lbl_titulo_busqueda								= 搜索部分剪切
004_lbl_delegacion									= 代表团
004_lbl_cliente										= 顾客
004_lbl_sector										= 扇形
004_lbl_proceso										= 过程
004_lbl_canal                                       = 渠道
004_lbl_fecha_transporte							= 数据传输
004_lbl_fecha										= 日
004_lbl_fecha_fin_conteo							= 结束日期计数
004_lbl_formato_salida								= 输出格式
004_btn_cliente										= 搜索客户
004_btn_proceso										= 搜索过程

004_csv_lbl_recuento								= 过程
004_csv_lbl_fecha									= 日
004_csv_lbl_letra									= 信
004_csv_lbl_f22										= F22
004_csv_lbl_oidRemesaOri                            = OID Remesa大利
004_csv_lbl_codSubCliente                           = 鳕子客户端
004_csv_lbl_estacion								= 站
004_csv_lbl_descricion_estacion						= 说明站
004_csv_lbl_descricion_divisa						= 说明货币
004_csv_lbl_medio_pago								= 付款方法
004_csv_lbl_descricion_medio_pago					= 说明付款方法
004_csv_lbl_declarado_f22							= 宣布每票快件
004_csv_lbl_ingresado_por_sobre						= 关于由SumaxRemessa加入
004_csv_lbl_recontado								= 新编
004_csv_lbl_recontado_declarado_remesa				= 新编 - 申报一批
004_csv_lbl_ingresado_declarado_remesa				= 关于注册 - 申报一批
004_csv_lbl_observaciones							= 评论
004_csv_lbl_falsos									= 假

rpt_004_txt_lbl_titulo								= 半切
rpt_004_txt_lbl_recuento							= 流程.............：
rpt_004_txt_lbl_transporte_del_dia					= D.首页运输：
rpt_004_txt_lbl_transporte_ate						= D.最终运费..：
rpt_004_txt_lbl_del_dia								= D.初始过程。
rpt_004_txt_lbl_ate									= D.决赛的过程....：
rpt_004_txt_lbl_conteo_del_dia						= D.结束连续。首页：
rpt_004_txt_lbl_conteo_ate							= D.结束连续。决赛：
rpt_004_txt_lbl_planta								= 植物...............：
rpt_004_txt_lbl_cliente								= 客户..............：
rpt_004_txt_lbl_letra								= 函件................：
rpt_004_txt_lbl_subcliente       					= 客户SUB ..........：
rpt_004_txt_lbl_oid_remesa_ori    					= OID出货...... ORI：
rpt_004_txt_lbl_sucursal							= 分行.............：
rpt_004_txt_lbl_fecha_transporte					= 日期.................：
rpt_004_txt_lbl_letra_f22							= 函件................：
rpt_004_txt_lbl_f22									= F22 ..................：
rpt_004_txt_lbl_subcliente_f22     					= 客户SUB ..........：
rpt_004_txt_lbl_sucursal_f22						= 分行.............：
rpt_004_txt_lbl_fecha_transporte_f22				= 日期.................：
rpt_004_txt_lbl_total								= 总
rpt_004_txt_lbl_divisa								= 座右铭
rpt_004_txt_lbl_declarado							= 声明
rpt_004_txt_lbl_ingresado							= INGRESADO
rpt_004_txt_lbl_recontado							= 新编
rpt_004_txt_lbl_rec_declarado						= 拍摄。 - 东方电气。
rpt_004_txt_lbl_ing_declarado						= ING。 - 东方电气。
rpt_004_txt_lbl_sobre								= 关于
rpt_004_txt_lbl_observaciones						= 评论
rpt_004_txt_lbl_resumen_recuento					= 原则：
rpt_004_txt_lbl_cantidad_cortes						= 法院：
rpt_004_txt_lbl_falso								= 假

// TELA RESPALDO COMPLETO
005_titulo_pagina									= 报告 - 完整背书
005_lbl_titulo_busqueda								= 搜索完全赞同
005_lbl_delegacion									= 代表团
005_lbl_cliente										= 顾客
005_lbl_sector										= 扇形
005_lbl_proceso										= 过程
005_lbl_fecha_transporte							= 数据传输
005_lbl_fecha										= 日
005_lbl_fecha_fin_conteo							= 结束日期计数
005_lbl_formato_salida								= 输出格式
005_lbl_remesas_en_curso							= 汇款正在进行
005_btn_cliente										= 搜索客户
005_btn_proceso										= 搜索普罗塞索

005_csv_lbl_recuento								= 过程
005_csv_lbl_fecha									= 日
005_csv_lbl_letra									= 信
005_csv_lbl_f22										= F22
005_csv_lbl_oidRemesaOri                            = OID Remesa大利
005_csv_lbl_codSubCliente                           = 鳕子客户端
005_csv_lbl_estacion								= 分公司
005_csv_lbl_descricion_estacion						= 说明科
005_csv_lbl_medio_pago								= 付款方法
005_csv_lbl_descricion_divisa						= 说明货币
005_csv_lbl_ingresado_por_sobre						= 关于输入
005_csv_lbl_recontado								= 新编
005_csv_lbl_recontado_ingresado						= 新编 - 加入
005_csv_lbl_observaciones							= 评论
005_csv_lbl_falsos									= 假

rpt_005_txt_lbl_titulo								= 全面支持
rpt_005_txt_lbl_transporte_del_dia					= D.运输INIT：
rpt_005_txt_lbl_transporte_ate						= D.最终运费..：
rpt_005_txt_lbl_del_dia								= D.初始过程。
rpt_005_txt_lbl_ate									= D.决赛的过程....：
rpt_005_txt_lbl_conteo_del_dia						= D.结束连续。首页：
rpt_005_txt_lbl_conteo_ate							= D.结束连续。决赛：
rpt_005_txt_lbl_planta								= 植物...............：
rpt_005_txt_lbl_cliente								= 客户..............：
rpt_005_txt_lbl_recuento							= 流程.............：
rpt_005_txt_lbl_letra								= 函件................：
rpt_005_txt_lbl_f22									= F22 ..................：
rpt_005_txt_lbl_subcliente       					= 客户SUB ..........：
rpt_005_txt_lbl_oid_remesa_ori    					= OID Remesa ORI .......：
rpt_005_txt_lbl_sucursal							= 分行.............：
rpt_005_txt_lbl_nrosobre							= 号............：
rpt_005_txt_lbl_divisa								= 座右铭
rpt_005_txt_lbl_medio_pago							= 支付手段
rpt_005_txt_lbl_unidad								= 单位
rpt_005_txt_lbl_valor_recontado						= 价值重述
rpt_005_txt_lbl_declarado							= 声明
rpt_005_txt_lbl_ingressado							= 进入
rpt_005_txt_lbl_recontado							= 新编
rpt_005_txt_lbl_diferencia							= 差分
rpt_005_txt_lbl_total_nro_sobre						= 总号开
rpt_005_txt_lbl_cant_respaldo						= QUANT。支持
rpt_005_txt_lbl_total_general						= 总计
rpt_005_txt_lbl_total								= 总
rpt_005_txt_lbl_informacion_iac						= 信息公开法
rpt_005_txt_lbl_meiopgto							= 支付手段
rpt_005_txt_lbl_descripiciondivisa					= 座右铭
rpt_005_txt_lbl_observaciones						= 评论

//TELA BUSQUEDA CLIENTES
006_titulo_pagina									= 搜索客户
006_titulo_busqueda									= 搜索条件
006_titulo_resultado								= 客户
006_lbl_gdr_codigo									= 码
006_lbl_gdr_descripcion								= 描述
006_codigo_cliente									= 客户端代码
006_descricao_cliente								= 说明客户
006_seleccione_un_cliente							= 选择客户端

// TELA DETALLE PARCIALES
007_titulo_pagina									= 报告 - 部分细节
007_lbl_titulo_busqueda								= 搜索部分细节
007_lbl_delegacion									= 代表团
007_lbl_fecha										= 日
007_lbl_fecha_transporte							= 数据传输
007_lbl_numero_remesa								= 数航运
007_lbl_numero_precinto								= 数字专用区
007_lbl_cliente										= 顾客
007_lbl_subcliente									= 子客户端
007_lbl_con_denominacion							= 随着指定
007_lbl_con_incidencia								= 随着发病率
007_lbl_formato_salida								= 输出格式
007_btn_cliente										= 搜索客户
007_btn_subcliente									= 搜索子客户端

007_lbl_cheque										= 查
007_lbl_ticket										= 票
007_lbl_otro_valor									= 另一种价值

007_csv_lbl_codigo_cliente							= 客户代码
007_csv_lbl_nombre_cliente							= 客户名称
007_csv_lbl_codigo_subcliente						= 代码SubCl
007_csv_lbl_nombre_subcliente						= 命名SubCl“
007_csv_lbl_punto_servicio							= PTO服务
007_csv_lbl_fecha_proceso							= 数据处理
007_csv_lbl_fecha_transporte						= 日期运输
007_csv_lbl_numero_remesa							= 不出货
007_csv_lbl_numero_precinto							= 号院内
007_csv_lbl_valor_declarado_bulto					= 五， DECL袋
007_csv_lbl_valor_declarado_remesa					= 五，陈述优惠。
007_csv_lbl_numero_parcial							= 无偏
007_csv_lbl_valor_declarado_parcial					= 五，部分陈述
007_csv_lbl_valor_contado							= 计数值
007_csv_lbl_diferencia								= 差异
007_csv_lbl_falsos									= 假
007_csv_lbl_observaciones							= 评论
007_csv_lbl_denominacion							= 面值
007_csv_lbl_cantidad								= 量
007_csv_lbl_importe									= 总和
007_csv_lbl_calidad									= 质量
007_csv_lbl_codigo_calidad							= 坏

rpt_007_lbl_titulo									= 部分细节
rpt_007_lbl_planta									= 植物...............：
rpt_007_lbl_cliente_filtro							= 客户..............：
rpt_007_lbl_subcliente_filtro						= 子客户端...........：
rpt_007_lbl_transporte_del_dia						= D.运输。首页：
rpt_007_lbl_del_dia									= D.初始过程。
rpt_007_lbl_hora_inicio								= 开始时间..........：

rpt_007_lbl_ate										= D.决赛的过程....：
rpt_007_lbl_transporte_ate							= D.最终运费..：
rpt_007_lbl_hora_fim								= 结束时间.............：
rpt_007_lbl_operario								= 工人.............：
rpt_007_lbl_fecha_transp							= 运输日期......

rpt_007_lbl_operario_filtro							= 工人.............：
rpt_007_lbl_puesto_filtro							= 旅游................：
rpt_007_lbl_num_remesa_filtro						= 一批.........编号：
rpt_007_lbl_num_precinto_filtro						= 民........选区：

rpt_007_lbl_posto									= 旅游................：
rpt_007_lbl_cliente									= 客户..............：
rpt_007_lbl_subcliente								= 子客户端...........：
rpt_007_lbl_pto_servicio							= PTO ..​​........服务：
rpt_007_lbl_fecha_proc								= 处理日期........：
rpt_007_lbl_num_precinto							= 分局号..........：
rpt_007_lbl_num_remesa								= 数...............：
rpt_007_lbl_num_parcial								= 数...............：

rpt_007_lbl_remesa									= 运输
rpt_007_lbl_num_bulto								= POUCH
rpt_007_lbl_parcial									= 局部
rpt_007_lbl_val_dec_remesa							= 申报价值
rpt_007_lbl_val_dec_bulto							= 申报价值
rpt_007_lbl_val_dec_parcial							= 申报价值
rpt_007_lbl_val_contado								= 计数值
rpt_007_lbl_falsos									= 假
rpt_007_lbl_denominaciones							= 面额
rpt_007_lbl_importe									= 总和
rpt_007_lbl_diferencias								= 差异
rpt_007_lbl_diferenca_dec							= 宣
rpt_007_lbl_diferenca_contado						= 计数
rpt_007_lbl_diferenca_total							= 总
rpt_007_lbl_diferenca_obs							= 评论
rpt_007_lbl_efetivo									= 有效
rpt_007_lbl_iacs									= 其他信息客户端
rpt_007_lbl_qtde									= 量

// TELA CONTADO POR PUESTO
008_titulo_pagina									= 报告 - 告诉旅游
008_lbl_titulo_busqueda								= 算旅游搜索
008_lbl_delegacion									= 代表团
008_lbl_fecha										= 日
008_lbl_fecha_transporte							= 数据传输
008_lbl_fecha_conteo								= 日期禁忌
008_lbl_puesto										= 邮寄
008_lbl_operario									= 工人
008_lbl_hora										= 时间
008_lbl_inicio										= 第一
008_lbl_finalizacion								= 完成
008_lbl_numero_remesa								= 多家船
008_lbl_numero_precinto								= 专用区数
008_lbl_cliente										= 顾客
008_lbl_subcliente									= 子客户端
008_lbl_con_denominacion							= 随着指定
008_lbl_con_incidencia								= 调焦
008_lbl_formato										= 输出格式
008_msg_datas										= 填充字段“{0}”，“{1}”和“{2}”。
008_msg_uma_data									= 填充字段为“{0}”或字段“{1}”或字段“{2}”。
008_btn_cliente										= 搜索客户
008_btn_subcliente									= 搜索子客户端
008_btn_puesto										= 搜游
008_btn_operario									= 搜寻工人

008_csv_lbl_puesto									= 鳕鱼之旅
008_csv_lbl_operario								= COD_（Operario）
008_csv_lbl_codcliente								= 鳕客户
008_csv_lbl_nombrecliente							= 客户名称
008_csv_lbl_codsubcl								= 鳕子客户端
008_csv_lbl_nombresubcl								= 名称的子客户端
008_csv_lbl_pto_servicio							= 点SERVICO
008_csv_lbl_fecha_proc								= 数据处理
008_csv_lbl_fecha_transp							= 数据传输
008_csv_lbl_num_remesa								= 在装运
008_csv_lbl_num_precinto							= 在院内
008_csv_lbl_val_dec_rem								= 申报一批
008_csv_lbl_val_dec_bulto							= 申报袋
008_csv_lbl_val_dec_parcial							= 宣布部分
008_csv_lbl_val_contado								= 计数值
008_csv_lbl_diferencia								= 差异
008_csv_lbl_cheques									= 支票簿
008_csv_lbl_falsos									= 假
008_csv_lbl_obs										= 观察
008_csv_lbl_efetivo									= 有效

008_msg_soloamete_fecha_3dias						= 如果只填写字段{0}，{1} {2}的日期范围不能超过3天。
008_msg_OperarioPuestoHora							= 为完成此字段{0}和{1}填写所要求的范围{2}。

rpt_008_lbl_titulo									= 算的上游
rpt_008_lbl_planta									= 植物：..............：
rpt_008_lbl_cliente_filtro							= 客户端：.............：
rpt_008_lbl_subcliente_filtro						= 端：..........：
rpt_008_lbl_transporte_del_dia						= D.运输。首页：
rpt_008_lbl_del_dia									= D.初始过程。
rpt_008_lbl_hora_inicio								= 开始时间..........：

rpt_008_lbl_ate										= D.决赛的过程....：
rpt_008_lbl_transporte_ate							= D.最终运费..：
rpt_008_lbl_hora_fim								= 结束时间.............：
rpt_008_lbl_operario								= 工人.............：
rpt_008_lbl_fecha_transp							= 运输日期......

rpt_008_lbl_operario_filtro							= 工人.............：
rpt_008_lbl_puesto_filtro							= 旅游................：
rpt_008_lbl_num_remesa_filtro						= 一批.........编号：
rpt_008_lbl_num_precinto_filtro						= 民........选区：

rpt_008_lbl_posto									= 旅游................：
rpt_008_lbl_cliente									= 客户..............：
rpt_008_lbl_subcliente								= 子客户端...........：
rpt_008_lbl_pto_servicio							= PTO ..​​........服务：
rpt_008_lbl_fecha_proc								= 处理日期........：
rpt_008_lbl_num_precinto							= 分局号..........：
rpt_008_lbl_num_remesa								= 数...............：
rpt_008_lbl_num_parcial								= 数...............：

rpt_008_lbl_remesa									= 运输
rpt_008_lbl_num_bulto								= POUCH
rpt_008_lbl_parcial									= 局部
rpt_008_lbl_val_dec_remesa							= 申报价值
rpt_008_lbl_val_dec_bulto							= 申报价值
rpt_008_lbl_val_dec_parcial							= 申报价值
rpt_008_lbl_val_contado								= 计数值
rpt_008_lbl_falsos									= 假
rpt_008_lbl_denominaciones							= 面额
rpt_008_lbl_diferencias								= 差异
rpt_008_lbl_diferenca_dec							= 宣
rpt_008_lbl_diferenca_contado						= 计数
rpt_008_lbl_diferenca_total							= 总
rpt_008_lbl_diferenca_obs							= 评论
rpt_008_lbl_efetivo									= 有效
rpt_008_lbl_qtde									= 量

//TELA BUSQUEDA SUBCLIENTES
009_titulo_pagina									= 搜索子客户端
009_titulo_busqueda									= 搜索条件
009_titulo_resultado								= 客户
009_lbl_gdr_cliente									= 顾客
009_lbl_gdr_codigo									= 码
009_lbl_gdr_descripcion								= 描述
009_codigo_subcliente								= 子客户端代码
009_descricao_subcliente							= 说明子客户端
009_seleccione_un_subcliente						= 选择子客户端
009_lbl_cliente										= 顾客


//TELA BUSQUEDA PROCESOS
010_titulo_pagina									= 搜索过程
010_titulo_busqueda									= 搜索条件
010_titulo_resultado								= 流程
010_lbl_delegacion									= 代表团
010_lbl_cliente										= 顾客
010_lbl_subcliente									= 子客户端
010_lbl_puntoservicio								= 服务点
010_lbl_canal										= 渠道
010_lbl_subcanal									= 子信道
010_grd_selecionar									= 选择
010_grd_cliente										= 顾客
010_grd_subcliente									= 子客户端
010_grd_puntoservicio								= 服务点
010_grd_canal										= 渠道
010_grd_subcanal									= 子信道
010_grd_proceso										= 过程
010_grd_vigente										= 目前
010_btn_subcliente									= 搜索子客户端
010_btn_puntoservicio								= 搜索服务点
010_seleccione_un_proceso							= 选择一个过程

//TELA PRINCIPAL - SELECCIONAR DELEGACIÓN
012_btn_confirmar									= 访问
012_lbl_delegacion									= 代表团
012_titulo											= 上市禁忌

//TELA BUSQUEDA RECIBO F22 RESPALDO
013_titulo_pagina									= 收据F22背书
013_lbl_titulo_busqueda								= 搜索收据F22和背书
013_lbl_delegacion									= 代表团
013_lbl_cliente										= 顾客
013_lbl_fecha_fin_conteo							= 结束日期计数
013_lbl_fecha										= 日
013_cod_pes											= 重量
013_des_pes											= 重量
013_cod_rea											= REAL
013_des_rea											= REAL
013_cod_dol											= DOLLAR
013_des_dol											= DOLLARS
013_cod_res											= RESPA
013_des_res											= 数量。下
013_cod_eur											= EUROS
013_des_eur											= EUROS
013_des_cheque										= 支票
013_des_ticket										= 订票
013_des_outro_valor								= 其他资产

//TELA BUSQUEDA REGISTRO DE TIRAS
014_titulo_pagina									= 选择注册地带
014_pnlFiltros										= 过滤器
014_lblCodigoATM									= ATM代码
014_lblCliente										= 顾客
014_lblSubcliente									= 子客户端
014_lblPuntoServicio								= 服务点
014_lblPeriodoContable								= 期间可计算
014_btn_cliente										= 搜索客户
014_btn_subcliente									= 搜索子客户端
014_btn_punto_servicio								= 搜索点服务
014_lblFechaInicio									= 开始日期
014_lblFechaFim										= 年终
014_btnBuscar										= 过滤
014_lblTituloTabela									= 记录地带
014_colFecha										= 日
014_colCodigoAtm									= ATM代码
014_colDesPeriodoContable							= P.可数
014_colCliente										= 顾客
014_colSubCliente									= 子客户端
014_colPuntoServicio								= PTO服务
014_colConsultar									= 请教

//TELA BUSQUEDA REGISTRO DE TIRAS
015_titulo_pagina									= 启用X X地带禁忌关系
015_pnlATM											= 鉴定ATM
015_lblCodigoATM									= ATM代码
015_lblCliente										= 顾客
015_lblSubcliente									= 子客户端
015_lblPuntoServicio								= 服务点
015_lblDescripcion									= 描述
015_pnlHabilitaciones								= 资格

015_colCodRemesaLegado								= 装船
015_colFyhHabilitacion								= 日
015_colCodInventarioContenedor						= 库存股
015_colCodPrecintoContenedor						= 密封问题
015_colCodMorfologiaComponente						= 识别码
015_colDesDivisa									= 座右铭
015_colCodDenominacion								= 面值
015_colNelCantidadHabilitada						= 量
015_colNumImporteHabilitado							= 总和
015_colTotalDivisa									= 总货币
015_colDivisa										= 座右铭

015_TotalHabilitado									= 总计启用

015_lblTiraRegistrada								= 剥去记录
015_tdDeclaradoDispensadores						= 声明的掌柜
015_tdCajetines										= 墨盒
015_tdCantidad										= 量
015_tdImporte										= 总和

015_TcolCodMorfologiaComponente						= 识别码
015_TcolDesDivisa									= 座右铭
015_TcolDesDenominacion								= 面值
015_TcolNelCantidadIntroducida						= 加载
015_TcolNelCantidadDispensada						= DISP。
015_TcolNelCantidadRechazada						= 拒绝
015_TcolNelCantidadRemanente						= 其余
015_TcolNumImporteIntroducido						= 加载
015_TcolNumImporteDispensado						= DISP。
015_TcolNumImporteRechazado							= 拒绝
015_TcolNumImporteRemanente							= 其余
015_TcolnumImporteDeclarado							= 宣

015_tdDivisa										= 总的货币
015_TotcolDesDivisa									= 座右铭
015_TotcolNumImporteIntroducido						= 加载
015_TotcolNumImporteRechazado						= 拒绝
015_TotcolNumImporteRemanente						= 其余
015_TotcolnumImporteDeclarado						= 宣

015_tdConteoDispensadores							= 计数掌柜
015_tdCajetinesConteo								= 墨盒

015_ContcolCodRemesaConteo							= 装船
015_ContcolDesDivisa								= 座右铭
015_ContcolDesDenominacion							= 面值
015_ContcolNumImporteContado						= 计数

015_tdDivisaConteo									= 总的货币

015_ContTotcolDesDivisa								= 座右铭
015_ContTotcolNumImporteContado						= 计数

015_lblDeclaradosIngresadores						= 插入宣布
015_lblDeclaradosDepositos							= 宣布存款
015_DecIngcolDesDivisa								= 座右铭
015_DecIngcolDesTipoMedioPago						= 通过光电倍增管。
015_DecIngcolNumImporteIngresado					= 宣

015_lblPeriodoContable								= 期间可计算
015_lblFecha										= 日

015_lblContadosIngresadores							= 插入计数
015_lblContadosDepositos							= 算作存款
015_ContIngcolCodRemesaConteo						= 装船
015_ContIngcolDesDivisa								= 座右铭
015_ContIngcolDesTipoMedioPago						= 通过光电倍增管。
015_ContIngcolNumImporteIngresado					= 计数

015_msg001											= 无间隙补偿与记录的条状！
015_msg002											= 宣布没有价值的掌柜！
015_msg003											= 没有指望掌柜！
015_msg004											= 没有计入插入！
015_msg005											= 没有指望存款！
015_msg006											= 没有价值声明的ingresadores！
015_msg007											= 宣布存款没有价值！

//TELA BUSQUEDA PARTE DE DIFERENCIAS
016_titulo_pagina									= 部分差异
016_lbl_titulo_busqueda								= 零件搜索的差异
016_lbl_delegacion									= 代表团
016_lbl_precinto_remesa								= 密封出货
016_lbl_precinto_bulto								= 密封袋
016_lbl_numero_albaran								= 交通号
016_lbl_cliente										= 顾客
016_btn_cliente										= 搜索客户
016_lbl_subcliente									= 子客户端
016_btn_subcliente									= 搜索子客户端
